id,hospitals,schools,transit
045001,0,0,1
045002,0,0,0
045003,3,0,0
045004,0,0,0
045005,0,0,0
045006,0,0,0
045007,0,0,5
045008,0,0,0
045009,0,0,0
045010,3,0,1
045011,0,0,0
045012,0,0,0
045013,0,0,0
045014,0,0,1
045015,0,0,0
045016,0,0,1
045017,0,0,0
046001,0,0,1
046002,0,0,1
046003,0,0,3
046004,0,0,2
046005,1,0,0
046006,0,0,2
046007,1,0,0
046008,0,0,0
046009,1,0,1
046010,0,0,0
046011,0,0,1
046013,0,0,0
046014,0,0,1
046015,0,0,0
046017,4,0,4
046018,4,0,1
046019,0,0,1
046020,0,0,0
046021,1,0,0
046022,0,0,0
046023,0,0,1
046024,0,0,1
046025,0,0,0
046026,0,0,1
046027,0,0,1
046028,0,0,1
046030,0,0,0
046031,0,0,0
046033,1,0,2
046034,0,0,0
046035,0,0,0
046036,0,0,0
046037,0,0,0
047002,1,0,0
047003,0,0,0
047005,1,0,0
047006,0,0,0
047007,1,0,0
047008,0,0,0
047009,1,0,0
047010,1,0,1
047011,1,0,4
047012,0,0,1
047013,0,0,0
047014,10,0,8
047016,0,0,0
047017,1,0,0
047018,1,0,0
047020,1,0,1
047021,0,0,0
047022,0,0,0
047023,2,0,0
047024,5,0,0
048001,1,0,0
048002,0,0,0
048004,1,0,2
048005,0,0,2
048006,1,0,0
048008,0,0,0
048010,0,0,0
048011,0,0,0
048012,0,0,3
048013,0,0,2
048014,0,0,3
048015,0,0,2
048017,14,0,7
048018,0,0,0
048019,0,0,0
048020,0,0,0
048021,0,0,0
048022,1,0,0
048024,0,0,1
048025,0,0,0
048026,0,0,3
048027,0,0,0
048028,0,0,1
048030,0,0,0
048031,1,0,0
048032,0,0,1
048033,0,0,2
048035,1,0,0
048036,0,0,2
048037,0,0,2
048038,1,0,0
048039,0,0,0
048041,2,0,0
048043,3,0,3
048044,0,0,1
048046,0,0,1
048049,0,0,1
048050,1,0,0
048052,2,0,2
048053,0,0,2
048054,0,0,0
049001,0,0,0
049002,1,0,1
049003,0,0,0
049004,0,0,0
049005,0,0,0
049006,0,0,0
049007,1,0,1
049008,1,0,0
049009,8,0,4
049010,0,0,0
049011,0,0,0
049012,0,0,2
049013,2,0,0
049014,2,0,0
049017,0,0,2
049018,0,0,1
049019,0,0,0
049020,0,0,0
049021,0,0,0
050001,1,0,0
050002,0,0,0
050003,0,0,0
050004,0,0,0
050005,0,0,0
050006,0,0,0
050008,2,0,3
050009,1,0,0
050010,0,0,0
050011,0,0,0
050012,0,0,0
050014,0,0,0
050015,0,0,0
050016,0,0,0
050019,1,0,1
050020,0,0,0
050021,0,0,0
050022,0,0,1
050023,0,0,0
050024,0,0,0
050025,0,0,0
050026,4,0,6
050027,0,0,0
050028,2,0,0
050029,0,0,1
050030,0,0,1
050031,0,0,3
050032,1,0,1
050033,0,0,0
050034,3,0,0
050035,0,0,0
050036,1,0,0
050037,1,0,0
050038,0,0,0
050039,0,0,1
050040,1,0,0
050041,0,0,0
051001,0,0,2
051002,3,0,8
051003,0,0,0
